id,Nombre,Email,Pais,Genero,Edad,Antigüedad,FacturacionTotal,PuntuacionCrediticia,CantidadProductos,PoseeTarjetaCredito,MiembroActivo,SalarioEstimado,VelocidadServicio,Abandono
15649280,Jacinto Amigó-Escudero,maria-luisaasenjo@figueras-alcaraz.es,Brasil,Femenino,40,9,134504.78,521,1,Si,No,18082.06,100GB,No
15735263,María José Bernal,roldan37@hotmail.com,Argentina,Masculino,27,5,51522.75,736,1,No,Si,192131.77,100GB,No
15730735,Ariel Paredes Sebastián,chebeltran@campo.net,Argentina,Masculino,38,9,72286.84,713,2,Si,Si,26136.89,1GB,No
15758513,Bibiana Milla-Llobet,calixta24@yahoo.com,Argentina,Masculino,43,7,0.0,569,2,Si,No,52534.81,500Mb,Si
15596405,Carmelita Vizcaíno Pinto,arrietadomitila@hotmail.com,Chile,Masculino,25,7,127728.24,546,2,Si,Si,105279.74,100GB,No
15768471,Luz Aliaga Ferrer,garridosoraya@yahoo.com,Brasil,Femenino,54,6,108755.0,554,1,Si,No,40914.32,500Mb,Si
15750574,Belen Carrasco Casares,apoloniayuste@gmail.com,Chile,Femenino,34,4,0.0,677,2,Si,Si,6175.53,2GB,No
15708534,Malena Eligia Llano Saura,zamoragracia@rius.com,Chile,Femenino,64,5,0.0,524,1,Si,No,136079.64,2GB,Si
15652030,Eusebia Mesa Carpio,pedrazamaxi@galan-sureda.com,Brasil,Masculino,49,2,108204.52,637,1,Si,No,169037.84,1GB,Si
15612207,Ani Menéndez Vives,rourajose@ocana.es,Brasil,Femenino,51,1,87779.83,840,1,No,Si,36687.11,2GB,Si
15773421,Dorita Salcedo Manzano,rodajordana@lobo.com,Argentina,Femenino,42,4,0.0,673,2,Si,No,121440.8,2GB,No
15654574,Adela Ayala Muñoz,ygomez@gmail.com,Brasil,Masculino,36,5,131142.53,499,2,Si,No,174918.46,2GB,No
15720508,Macaria Ballester Roura,framos@zabaleta.es,Argentina,Masculino,31,3,119558.35,735,1,No,No,72927.68,1GB,No
15589076,Otilia Sales Nogués,varelaelpidio@anglada-pazos.com,Argentina,Masculino,36,9,0.0,737,1,No,Si,188670.9,1GB,Si
15807163,María Sevillano López,fabianaroig@elias-guijarro.com,Argentina,Femenino,38,10,0.0,537,1,No,No,52337.97,1GB,Si
15570857,Isa Bartolomé,reguloescriva@gmail.com,Brasil,Femenino,39,0,111213.64,677,2,Si,Si,147578.26,2GB,No
15739248,América Olivares-Castrillo,marinojaime@gmail.com,Argentina,Masculino,52,4,0.0,727,2,Si,Si,118429.02,500Mb,Si
15777743,Cebrián Jacinto Cerdán Abellán,mohamedsegui@nunez.es,Argentina,Femenino,39,3,92224.56,705,1,Si,Si,54517.25,20GB,No
15592979,Ruperta Olalla Mendoza Lastra,aroa02@yahoo.com,Brasil,Femenino,34,6,37266.67,671,2,No,No,156917.12,2GB,No
15581968,Violeta Cortes,fuentesdomitila@carnero.com,Argentina,Femenino,33,1,0.0,745,2,Si,Si,174431.01,1GB,No
15688251,Cipriano Mate Tenorio,dhuguet@pizarro-pulido.org,Argentina,Masculino,43,1,76408.85,767,2,Si,No,77837.63,100GB,No
15807008,Ciro Lobato Puig,ainaraarenas@yahoo.com,Brasil,Femenino,35,6,128100.28,614,1,No,No,69454.24,500Mb,Si
15569878,Reyes Fito Sastre Bermúdez,hfuster@garzon.es,Argentina,Masculino,37,3,96651.03,592,1,Si,Si,3232.82,500Mb,Si
15812920,Humberto Alfredo Belda Bosch,ypalacios@yahoo.com,Brasil,Masculino,40,5,90594.55,607,1,No,Si,181598.25,100GB,No
15761453,Cipriano Ureña-Raya,bsegarra@yahoo.com,Argentina,Masculino,42,6,0.0,667,1,Si,No,88890.05,1GB,No
15734058,Aránzazu Bermejo-Villalonga,ainaratrujillo@hotmail.com,Brasil,Masculino,32,9,170661.47,509,1,Si,Si,21646.2,1GB,No
15694859,Delfina Macias Pulido,cobolucia@gmail.com,Brasil,Femenino,28,10,132932.14,751,2,Si,Si,46630.47,500Mb,Si
15571873,Sandra Dalmau Vaquero,estrellatolosa@rodriguez.es,Argentina,Masculino,24,9,107065.31,655,1,Si,Si,51959.82,500Mb,Si
15617476,Benigno Saldaña Luque,wjove@montserrat-cepeda.es,Argentina,Femenino,30,5,0.0,546,2,No,Si,198543.09,20GB,No
15692430,Noa Llobet González,maximilianovalentin@alamo.com,Brasil,Masculino,36,2,123601.56,699,2,Si,No,103557.85,20GB,No
15640580,Alfredo del Blazquez,gregoriopareja@marin.com,Argentina,Femenino,47,9,0.0,650,1,Si,No,187943.6,500Mb,Si
15741092,Esteban Miranda Beltrán,gasparpellicer@yahoo.com,Chile,Masculino,34,10,153360.02,671,1,Si,No,140509.86,100GB,No
15668032,Candelario Gomez,venceslas81@requena.org,Argentina,Femenino,37,4,0.0,577,1,Si,Si,79881.39,500Mb,Si
15789498,Alondra Jove Domínguez,violetasierra@gmail.com,Argentina,Masculino,30,3,111099.79,562,2,No,No,140650.19,1GB,No
15595657,Montserrat Crespi,amelia56@cuellar.org,Brasil,Masculino,40,4,95001.33,649,1,No,Si,123202.99,20GB,No
15737354,Crescencia Pinilla-Mármol,fuentesnico@acero.com,Argentina,Femenino,48,7,0.0,554,2,Si,Si,63708.07,500Mb,Si
15627385,Fabián del Garriga,damian33@yahoo.com,Argentina,Masculino,34,5,84009.47,748,1,Si,Si,137001.1,1GB,No
15786680,Mateo Coello Mulet,muletnicodemo@barbero.com,Chile,Masculino,37,5,0.0,805,2,Si,No,21928.81,100GB,No
15671514,Coral Iñiguez Bolaños,aguerrero@hotmail.com,Chile,Femenino,33,8,0.0,669,2,No,Si,128538.05,2GB,No
15701555,Aitana del Duran,arocafelipe@yahoo.com,Chile,Masculino,53,1,84903.33,575,2,No,Si,26015.8,2GB,No
15758171,Nadia Santos,mllanos@hotmail.com,Argentina,Masculino,20,4,0.0,582,1,Si,Si,55763.66,100GB,No
15770995,Alex Castro,irmacastillo@hotmail.com,Brasil,Femenino,47,1,131160.85,753,1,Si,No,197444.69,20GB,No
15738889,Úrsula Osuna Pablo,bernarda54@gmail.com,Argentina,Masculino,42,8,102870.93,658,1,No,Si,103764.55,500Mb,Si
15657321,Isaura Machado Paniagua,infantenuria@gmail.com,Brasil,Masculino,27,8,113174.21,712,2,Si,No,147261.58,20GB,No
15798424,Ceferino Segarra Múgica,consuelo06@gmail.com,Brasil,Masculino,59,1,130854.59,833,1,Si,Si,30722.52,500Mb,Si
15646302,Mónica Ledesma Sanmartín,ffabregas@yahoo.com,Argentina,Femenino,24,7,100169.51,705,1,Si,No,121408.55,1GB,No
15642726,Ariadna Expósito,cfiguerola@hotmail.com,Argentina,Masculino,53,3,83568.26,611,1,No,No,1235.49,1GB,No
15756871,Beatriz Garmendia Llopis,irmasedano@gmail.com,Chile,Masculino,39,3,0.0,512,1,Si,No,134878.19,100GB,No
15730433,Artemio Suárez Alberola,melchorcanas@ojeda.es,Brasil,Femenino,38,1,128218.47,580,1,Si,No,125953.83,100GB,Si
15696120,Saturnino Apolinar Reig Verdejo,valenzuelachucho@yahoo.com,Chile,Femenino,30,2,0.0,701,2,Si,No,115650.63,1GB,No
15694404,Edgardo Sigfrido Casanova Abella,maxivalles@barrio-lozano.es,Argentina,Femenino,42,3,156555.54,781,1,Si,Si,175674.01,100GB,No
15796764,Ximena Aragonés,carmonawilfredo@porras-millan.com,Brasil,Femenino,56,3,127585.98,684,3,Si,Si,80593.49,2GB,Si
15810786,Lara Pera-Bernal,tejadaileana@mas.net,Argentina,Femenino,67,3,0.0,620,2,Si,Si,43486.73,20GB,No
15770214,Zaida Agudo Tomás,tverdejo@yahoo.com,Argentina,Femenino,27,7,0.0,754,2,Si,No,144134.64,2GB,No
15756610,Josep Monreal-Narváez,laura38@torrents-vargas.es,Brasil,Femenino,38,5,123770.46,657,1,No,No,47019.66,1GB,Si
15797822,Custodio Cervera-Acedo,eutropio90@gmail.com,Argentina,Masculino,28,2,109137.12,678,1,Si,Si,58814.41,100GB,No
15609913,Marisol Juana Carpio Milla,pmoran@alcolea.es,Argentina,Femenino,46,9,0.0,743,1,Si,No,113436.08,500Mb,Si
15719352,Porfirio Recio Ródenas,edgar55@hotmail.com,Chile,Masculino,39,6,170184.99,754,2,Si,No,89593.26,500Mb,Si
15613786,Angelita Goicoechea-Quero,coboaaron@isern.com,Chile,Masculino,26,4,0.0,818,2,Si,Si,167036.94,100GB,No
15756920,Maxi de Solano,eugenioguitart@gmail.com,Argentina,Masculino,63,9,70655.48,576,1,No,No,78955.8,20GB,Si
15668893,Amado Cases-Armas,yamor@yahoo.com,Argentina,Masculino,39,8,0.0,782,2,Si,Si,33949.67,20GB,No
15712551,Débora Clotilde Robledo León,cnavarro@millan.com,Brasil,Femenino,58,7,116922.25,622,1,Si,No,120415.61,1GB,Si
15678057,Roberta Noemí Villar Bayón,dbarco@gmail.com,Argentina,Masculino,44,10,118569.03,524,2,No,No,82117.2,20GB,No
15688865,Perla Franch Solsona,riquelmepaco@yahoo.com,Argentina,Femenino,35,9,0.0,850,2,No,No,25329.48,1GB,No
15774738,Diana Olmedo Matas,gil76@palomares.es,Argentina,Masculino,44,3,107764.75,632,1,Si,No,185667.72,2GB,No
15718779,Encarnacion Pujadas Alberdi,liliana77@simo.com,Argentina,Masculino,34,1,0.0,780,1,Si,Si,64804.04,2GB,No
15762134,Clarisa del Cuervo,perasalvador@pinto.es,Brasil,Masculino,59,8,119152.1,506,2,Si,Si,170679.74,20GB,No
15755330,Melisa Margarita Guzmán Carranza,consuelasantiago@yahoo.com,Brasil,Masculino,41,7,122403.24,512,1,No,Si,37439.9,100GB,Si
15799653,Olga Riba Grande,porcelmarcelino@enriquez-trillo.com,Brasil,Femenino,32,7,94753.55,583,2,Si,Si,18149.03,1GB,No
15782778,Marciano Tolosa Porta,ceferinoluna@yahoo.com,Argentina,Masculino,35,4,0.0,815,2,No,Si,198490.33,500Mb,Si
15652883,Haydée Morell Lloret,hvidal@yahoo.com,Brasil,Masculino,39,10,124576.65,492,2,Si,No,148584.61,500Mb,Si
15653147,Margarita Alcázar Botella,fabian57@yahoo.com,Argentina,Masculino,35,2,133853.27,594,1,Si,Si,65361.66,100GB,No
15611599,Carmen Espada Leiva,guillermo43@yahoo.com,Argentina,Femenino,71,2,0.0,604,2,Si,Si,49506.82,500Mb,Si
15793883,Nereida Almagro Valero,lseco@nino.com,Argentina,Masculino,28,3,0.0,798,2,Si,No,2305.27,1GB,No
15592229,Violeta Mosquera Chaves,amilcar60@alvarez-fortuny.com,Argentina,Femenino,52,0,185891.54,713,1,Si,Si,46369.57,2GB,Si
15706268,Raquel Reig-Molins,sebastiancelestino@berrocal.com,Brasil,Masculino,51,1,147910.3,697,1,Si,Si,53581.14,2GB,No
15627002,Dolores Gutierrez Pinedo,slumbreras@hotmail.com,Argentina,Masculino,38,1,115934.74,728,1,Si,Si,139059.05,2GB,No
15663706,Ovidio Pagès Santos,murciaana-sofia@cuadrado.com,Argentina,Femenino,32,2,0.0,777,1,Si,No,136458.19,100GB,Si
15604119,Samanta Oliva Ferreras,marino74@sanabria.es,Chile,Masculino,35,7,110349.82,850,1,No,No,126355.8,2GB,No
15718852,Nicolasa Ferreras Fernandez,isaias54@yahoo.com,Argentina,Masculino,56,9,96951.21,794,1,Si,Si,71776.76,1GB,No
15788676,Victoriano Baltasar Dávila Grau,gabino63@yahoo.com,Chile,Masculino,38,8,71460.67,539,2,Si,Si,10074.05,500Mb,Si
15684921,Susanita Lorenza Arellano Goñi,hmaza@cabanillas.es,Chile,Masculino,25,8,142862.21,792,1,Si,Si,130639.01,20GB,No
15667460,Xavier Arana-Rocamora,zpino@quevedo.com,Argentina,Masculino,31,9,0.0,797,2,Si,Si,24748.89,500Mb,Si
15655658,Jordán del Bosch,angelinazabala@valls.es,Argentina,Femenino,48,2,0.0,678,2,Si,Si,32301.88,2GB,No
15624820,Evangelina Peinado Amo,leoncio38@hotmail.com,Chile,Masculino,56,7,50911.21,683,3,No,No,97629.31,1GB,Si
15757588,Priscila Manola Uriarte Prat,fabio73@yahoo.com,Argentina,Masculino,30,9,0.0,526,2,No,No,100995.68,1GB,No
15738248,Jacinto Pozuelo,bsuarez@giralt.com,Argentina,Femenino,37,5,0.0,662,2,Si,No,151871.84,2GB,No
15723671,Mónica Gámez Marí,anastasia53@criado-gimeno.es,Argentina,Masculino,35,9,100107.99,661,1,Si,No,83949.68,100GB,No
15738954,Salvador Suarez Ripoll,ferminartigas@hotmail.com,Argentina,Masculino,35,7,129717.3,551,2,No,No,86937.2,500Mb,Si
15674880,Valero de Piquer,palausandalio@saenz.com,Chile,Masculino,50,2,0.0,658,2,Si,No,52137.73,2GB,No
15785815,Yolanda Ayuso Santamaria,elpidio48@banos-cazorla.com,Brasil,Masculino,31,1,142631.54,670,2,Si,Si,175894.24,100GB,No
15719479,Águeda Cózar Anaya,jnaranjo@yahoo.com,Chile,Femenino,56,7,0.0,619,2,Si,Si,42442.21,1GB,No
15569641,Felipe Edmundo Pla Aragonés,federicogarate@velasco-mas.es,Brasil,Femenino,41,8,130701.29,692,1,Si,No,59354.24,1GB,Si
15691875,Plinio Conesa Royo,olmedoelena@yahoo.com,Brasil,Femenino,39,5,114491.82,850,1,Si,No,99689.48,500Mb,Si
15622494,Fabiana Molins Páez,valleligio@prada-alcazar.com,Argentina,Masculino,27,2,0.0,718,2,No,No,26229.24,20GB,No
15673238,Glauco Escolano Guillén,jose-mari47@tur-colom.es,Brasil,Femenino,59,8,154110.99,517,2,Si,No,101240.08,500Mb,Si
15633870,Telmo Gargallo Corral,perezadan@alvaro-salgado.es,Argentina,Femenino,36,10,0.0,850,2,Si,Si,100750.03,100GB,No
15653521,Mirta Parejo Losada,bauzajoan@paz.es,Brasil,Femenino,40,7,104449.8,850,1,Si,Si,747.88,100GB,No
15711249,Rosa Tenorio Arce,marisol42@fonseca-esteban.com,Chile,Masculino,22,4,0.0,544,2,Si,No,70007.67,2GB,No
15700325,José Ángel Soria Bejarano,chelo80@fuster.es,Argentina,Femenino,24,8,92760.55,644,1,Si,No,35896.75,20GB,No
15786463,Mateo Cardona Catalán,nietorosa@yahoo.com,Brasil,Femenino,59,8,121669.93,645,2,No,No,91.75,1GB,Si
15799128,Jose Mariano Gabaldón Menéndez,poncio02@yahoo.com,Chile,Femenino,38,9,102406.76,608,1,No,Si,57600.66,1GB,No
15611544,Loreto de Villalonga,eloygibert@roma-arias.es,Brasil,Masculino,36,7,95448.32,701,2,Si,No,189085.07,20GB,No
15680767,Fabricio del Prada,xbarros@manso.es,Brasil,Femenino,64,10,98362.35,717,2,Si,Si,21630.21,500Mb,Si
15780220,Ariadna Yésica Moya Heras,jose-antonio14@hotmail.com,Argentina,Masculino,38,10,0.0,656,1,Si,Si,136521.82,100GB,No
15669887,Rodrigo Barberá Miguel,zcolom@salgado-conde.com,Argentina,Femenino,51,3,0.0,839,1,Si,Si,69101.23,20GB,Si
15605375,Roque Estrada Mayol,arcelia88@hotmail.com,Argentina,Masculino,35,2,86911.8,651,1,Si,No,174094.24,20GB,No
15729201,Wálter Martorell,chushervia@garate.com,Argentina,Masculino,55,9,0.0,682,1,Si,No,153356.8,500Mb,Si
15577515,Encarnita Perales Solsona,tcabo@hotmail.com,Brasil,Femenino,55,0,108477.27,554,1,No,Si,140003.0,2GB,Si
15745794,Lupe Fajardo Sanjuan,tejeromauricio@amores-barreda.com,Argentina,Masculino,30,6,0.0,547,2,Si,Si,18471.86,500Mb,Si
15615177,Vinicio Guitart Peña,bellidoerasmo@yahoo.com,Chile,Masculino,28,6,123692.0,561,1,Si,Si,70548.96,1GB,No
15765457,Celestino Calderon Saez,luiskike@alvarado-ruano.org,Chile,Masculino,35,1,100829.94,719,1,Si,Si,165008.97,1GB,No
15584156,Jonatan Jaime Escudero Tena,lucho33@yahoo.com,Chile,Masculino,27,10,0.0,593,3,No,No,94620.0,20GB,Si
15597968,Yéssica Rey Saavedra,david11@gmail.com,Chile,Masculino,50,7,0.0,617,1,Si,No,184839.7,1GB,Si
15590337,Patricio del Pedrero,uchico@canton.com,Argentina,Masculino,29,6,123192.12,659,1,Si,Si,56971.41,20GB,Si
15578671,Edgardo Marí Casanova,unieto@quintero.es,Chile,Femenino,29,1,209490.21,706,1,Si,Si,133267.69,100GB,Si
15664849,Trini Rivas,tgarces@vila.org,Chile,Masculino,46,3,65269.23,573,1,No,Si,189988.65,20GB,Si
15658504,Purificación Graciela Neira Plana,emilianalopez@benavides.com,Brasil,Femenino,62,9,137727.34,584,2,No,Si,121102.9,500Mb,Si
15766066,Mateo Carlos Solano,glaucoaranda@rodrigo-boix.es,Brasil,Femenino,28,1,124511.01,668,1,No,No,114258.18,20GB,No
15656471,Aitor Velasco,jarcos@olive.org,Argentina,Masculino,33,9,0.0,773,2,Si,Si,1118.31,2GB,No
15588350,Genoveva López,xgaliano@villar.com,Argentina,Femenino,43,10,147832.15,744,1,No,Si,24234.11,20GB,No
15648075,Florina Roldan-Donaire,pombocalixto@lujan.com,Brasil,Femenino,47,5,170935.94,686,1,Si,No,173179.79,100GB,Si
15570360,Eliana Villalba Vaquero,bertranjulio@gmail.com,Argentina,Femenino,35,4,0.0,641,2,No,No,125986.18,100GB,No
15738672,Araceli Batalla-Iborra,gmontenegro@gmail.com,Brasil,Femenino,40,2,162485.8,737,2,Si,No,149381.32,1GB,No
15590078,Aurelia Plana,leonciosacristan@buendia.es,Chile,Masculino,27,9,139834.93,622,1,Si,Si,152733.89,2GB,No
15696812,Paola Naranjo Román,nerea79@yahoo.com,Chile,Masculino,42,6,0.0,586,2,Si,Si,123410.23,1GB,No
15706899,Lisandro Ariño Calderon,clarisaortega@jover.com,Argentina,Masculino,34,4,0.0,559,2,Si,Si,66721.98,100GB,No
15772479,Teresa Bonet,cebrianjulian@ferrera.es,Argentina,Masculino,37,4,0.0,673,2,No,No,163563.07,2GB,No
15810978,Rosa María Irma Sanmartín Perera,clara13@hotmail.com,Chile,Femenino,70,1,0.0,788,2,Si,Si,41610.62,500Mb,Si
15612667,Cristóbal Romero,grandeadalberto@agudo.com,Chile,Masculino,42,0,0.0,680,1,Si,No,136377.21,100GB,No
15676835,Mateo Cerezo Martínez,ponceluis@gmail.com,Chile,Masculino,33,1,0.0,710,2,Si,No,168313.17,100GB,No
15736778,Evita de Pedraza,sandovalvalentin@segui-camacho.com,Brasil,Femenino,60,1,72948.58,807,2,Si,Si,17355.36,500Mb,Si
15807194,Félix Herberto Iborra Asensio,humbertofiol@gmail.com,Chile,Masculino,34,5,113922.44,718,2,Si,No,30772.22,1GB,No
15627517,Herberto Solano Pizarro,lopezanita@hotmail.com,Chile,Masculino,27,7,149400.27,497,1,No,No,167522.19,100GB,No
15776404,Daniel Castelló Figueroa,pliniopulido@yahoo.com,Argentina,Masculino,22,8,123374.46,523,1,Si,Si,124906.59,1GB,No
15581295,Íñigo del Vara,torrenssofia@gmail.com,Chile,Femenino,45,1,0.0,617,1,Si,No,143298.06,2GB,No
15619608,Amalia Quintero Seco,nando58@puga.es,Brasil,Femenino,50,10,92895.56,454,1,Si,No,154344.0,2GB,Si
15742019,Paloma Julián Montserrat,pepitaguzman@yahoo.com,Argentina,Femenino,39,6,0.0,675,2,No,No,83419.15,20GB,No
15679738,Jose Manuel Casal Iñiguez,serafinabusquets@rosello.com,Chile,Femenino,35,8,0.0,527,1,Si,No,98031.53,20GB,Si
15601030,Emilia Pujadas-Andrés,cpardo@yahoo.com,Brasil,Femenino,34,5,96693.66,777,1,Si,Si,172618.52,1GB,No
15798521,Ascensión Zamora Ferrera,angelitaamoros@yahoo.com,Chile,Masculino,33,3,0.0,675,2,Si,No,45348.08,100GB,No
15654238,Gema Elías Torralba,ovidioviana@yahoo.com,Argentina,Femenino,40,5,137494.28,673,1,Si,No,81753.92,20GB,No
15803337,Ale Campo Amigó,carloscal@hotmail.com,Argentina,Masculino,23,9,168372.52,648,1,Si,No,134676.72,2GB,No
15799350,Maxi del Pagès,fidelcal@sebastian.es,Argentina,Masculino,41,0,106134.46,632,1,No,Si,105570.39,100GB,No
15674328,Serafina Cañizares Bueno,florencioabril@hotmail.com,Argentina,Femenino,40,3,47364.45,670,1,Si,Si,148579.43,20GB,Si
15663312,Lourdes del Briones,sevillavirginia@guitart-echeverria.es,Argentina,Femenino,35,9,112727.06,494,2,Si,No,183752.91,20GB,No
15704250,Óscar Aguado Téllez,martiriocases@hotmail.com,Argentina,Masculino,34,7,0.0,506,2,No,No,115842.1,500Mb,Si
15593365,Ruth Baños-Saura,ibanezjose@yahoo.com,Chile,Masculino,39,2,81273.13,762,1,Si,Si,18719.67,100GB,No
15607381,Dionisia Rebollo-Valero,rocaabigail@gmail.com,Brasil,Femenino,31,7,148913.72,769,2,Si,No,53817.23,20GB,No
15763704,Edmundo Cervera,tomas69@gmail.com,Brasil,Femenino,43,2,69014.49,692,2,No,No,164621.43,100GB,No
15630402,Aurora Seco Velasco,raimundo33@yahoo.com,Argentina,Femenino,31,9,0.0,594,1,No,Si,5719.11,500Mb,Si
15711733,José Ángel Peñalver Cordero,felix86@suarez-ortega.es,Argentina,Masculino,48,4,0.0,753,2,No,Si,146821.42,500Mb,Si
15628674,Sabas Gomez Grau,fioljaime@estevez.com,Argentina,Masculino,40,7,113348.14,844,1,Si,No,31904.31,100GB,Si
15579189,Zoraida Malo Moya,castanedamarcia@gmail.com,Argentina,Femenino,42,5,0.0,690,2,No,Si,120512.08,1GB,No
15609176,Clarisa Juárez Rozas,tcifuentes@jara.es,Argentina,Femenino,32,5,0.0,688,2,No,Si,177607.77,20GB,No
15812918,Amanda Carbajo Abascal,regina37@llamas.es,Argentina,Femenino,27,6,62339.81,432,2,No,No,53874.67,500Mb,Si
15704483,Isa Borja,alejorda@gmail.com,Argentina,Masculino,40,6,0.0,724,2,No,No,106149.48,1GB,No
15767781,Rafa Beltran Gallego,marcoortiz@yahoo.com,Argentina,Masculino,38,10,82697.28,648,1,Si,No,74846.67,500Mb,Si
15646558,Ulises Feliciano Luján Uría,graciela43@reyes.com,Chile,Masculino,51,1,122874.74,611,1,Si,Si,149648.45,2GB,No
15667289,Abril Maldonado,loreto59@peiro-salva.es,Chile,Masculino,50,2,0.0,719,2,No,No,10772.13,2GB,No
15795488,Seve Peinado Márquez,estela69@yahoo.com,Chile,Masculino,52,2,0.0,773,2,Si,No,57337.79,2GB,No
15611905,Ruy Cabrero,ncantero@hotmail.com,Chile,Femenino,31,5,174853.46,513,1,Si,No,84238.63,1GB,No
15761706,Hortensia Vicente Romeu,palominojuan-luis@ayuso-bonet.com,Chile,Femenino,39,8,144102.32,705,1,Si,Si,11682.36,2GB,No
15786617,Paz Salom Calvet,guillermo70@yahoo.com,Brasil,Masculino,34,3,133658.24,485,1,Si,No,70209.83,20GB,No
15586039,Conrado Pou Blanca,wescriva@hotmail.com,Brasil,Femenino,36,5,90063.74,471,2,Si,Si,96366.7,2GB,No
15587210,Jose Antonio Conde Villalonga,ubatalla@hotmail.com,Brasil,Femenino,44,10,113581.98,591,1,Si,No,1985.41,500Mb,Si
15635728,Salud Luz Alcaraz Cuervo,alcalaeulalia@hotmail.com,Argentina,Masculino,41,4,0.0,693,2,No,No,156381.47,500Mb,Si
15670427,Obdulia Talavera Querol,ramonabel@reyes.org,Chile,Masculino,37,4,155187.3,662,1,Si,No,48930.8,20GB,No
15656417,Quique Boada,maria-jose05@hotmail.com,Argentina,Femenino,39,1,132077.48,582,2,Si,No,192255.15,100GB,No
15697625,Ligia Acevedo Lloret,corominasmorena@asensio-tejedor.es,Argentina,Masculino,37,2,163789.49,791,2,Si,No,75832.53,2GB,No
15717398,Camila Robledo Velázquez,bellidobenjamin@yahoo.com,Chile,Femenino,39,7,0.0,549,1,No,No,81259.25,20GB,Si
15807909,Anna Oller-Busquets,rieraleticia@iborra.org,Argentina,Masculino,47,9,0.0,744,2,Si,No,113163.17,500Mb,Si
15578156,Gerardo España,teresitasosa@arnal.es,Chile,Masculino,32,5,138521.83,615,1,Si,Si,56897.1,100GB,No
